"","title","year","test","clean_test","binary","budget_2013","domgross_2013","intgross_2013"
"57","Red 2",2013,"ok","ok","PASS",84000000,53262560,137162560
"58","Riddick",2013,"notalk-disagree","notalk","FAIL",38000000,42025135,92425135
"59","Runner Runner",2013,"nowomen","nowomen","FAIL",30000000,19316646,62616646
"60","Rush",2013,"notalk","notalk","FAIL",38000000,26947624,43047624
"61","Safe Haven",2013,"ok","ok","PASS",28000000,71399120,93943623
"62","Saving Mr. Banks",2013,"ok","ok","PASS",35000000,82834332,100734332
"63","Side Effects",2013,"ok","ok","PASS",30000000,32172757,60288363
"64","Star Trek Into Darkness",2013,"notalk-disagree","notalk","FAIL",190000000,228778661,466978661
"65","Texas Chainsaw 3D",2013,"ok-disagree","ok","PASS",20000000,34341945,39093317
"66","The Big Wedding",2013,"ok","ok","PASS",32500000,21819348,35770721
"67","The Book Thief",2013,"ok","ok","PASS",19000000,21345525,62045525
"68","The Call",2013,"ok","ok","PASS",13000000,51872378,58938768
"69","The Conjuring",2013,"ok","ok","PASS",20000000,137400141,318000141
"70","The Counselor",2013,"ok","ok","PASS",25000000,16973715,70373715
"71","The Croods",2013,"men-disagree","men","FAIL",135000000,187168425,573068425
"72","The Family",2013,"men","men","FAIL",30000000,36918811,51078541
"73","The Fifth Estate",2013,"notalk","notalk","FAIL",26000000,3254172,6154172
"74","The Frozen Ground",2013,"nowomen-disagree","nowomen","FAIL",19200000,NA,NA
"75","The Great Gatsby",2013,"dubious","dubious","FAIL",190000000,144840419,351040419
"76","The Hangover part 3",2013,"men","men","FAIL",103000000,112200072,362000072
"77","The Heat",2013,"ok","ok","PASS",43000000,159581587,230781587
"78","The Hobbit: The Desolation of Smaug",2013,"notalk-disagree","notalk","FAIL",250000000,257397516,937397516
"79","The Host",2013,"dubious-disagree","dubious","FAIL",50000000,26623701,58188384
"80","The Hunger Games: Catching Fire",2013,"ok","ok","PASS",130000000,424088260,857088260
"81","The Incredible Burt Wonderstone",2013,"notalk","notalk","FAIL",32000000,22537881,24255957
"82","The Internship",2013,"notalk","notalk","FAIL",58000000,44672764,93672764
"83","The Last Exorcism Part II",2013,"ok","ok","PASS",4000000,15179303,18541236
"84","The Lone Ranger",2013,"notalk","notalk","FAIL",275000000,89289910,259989910
"85","The Mortal Instruments: City of Bones",2013,"ok-disagree","ok","PASS",60000000,31165421,75965567
"86","The Purge",2013,"dubious","dubious","FAIL",3000000,64473115,91100541
"87","The Smurfs 2",2013,"ok","ok","PASS",110000000,71017784,348545841
"88","The To Do List",2013,"ok","ok","PASS",1500000,3491669,3491669
"89","The Way Way Back",2013,"ok-disagree","ok","PASS",5000000,21502690,26161443
"90","The Wolf of Wall Street",2013,"notalk-disagree","notalk","FAIL",100000000,115702857,365702857
"91","The Wolverine",2013,"ok","ok","PASS",115000000,132556852,416456852
"92","The World&#39;s End",2013,"men-disagree","men","FAIL",20000000,26004851,46578821
"93","This Is the End",2013,"notalk","notalk","FAIL",32000000,101470202,126294264
"94","Thor: The Dark World",2013,"dubious-disagree","dubious","FAIL",170000000,204674790,631674790
"95","Trance",2013,"nowomen","nowomen","FAIL",16000000,2322593,22594052
"96","Turbo",2013,"dubious-disagree","dubious","FAIL",135000000,83028130,283828130
"97","Warm Bodies",2013,"men-disagree","men","FAIL",30000000,66380662,116643610
"98","We&#39;re the Millers",2013,"ok","ok","PASS",37000000,150394119,270000119
"99","White House Down",2013,"men","men","FAIL",150000000,73103784,205440387
"100","World War Z",2013,"dubious-disagree","dubious","FAIL",190000000,202359711,539559711
"101","Abraham Lincoln: Vampire Hunter",2012,"dubious-disagree","dubious","FAIL",68488103,38068365,116804318
"102","Act of Valor",2012,"nowomen","nowomen","FAIL",12175663,71037735,83704673
"103","Amour",2012,"dubious-disagree","dubious","FAIL",9841994,6837603,26295088
"104","Anna Karenina",2012,"men-disagree","men","FAIL",49717290,13003980,71771007
"105","Argo",2012,"ok-disagree","ok","PASS",45151416,138016721,224540219
"106","Battleship",2012,"notalk-disagree","notalk","FAIL",212059460,66190353,308594933
"107","Beasts of the Southern Wild",2012,"dubious-disagree","dubious","FAIL",1826349,12983057,21388640
"108","Blue Like Jazz",2012,"ok","ok","PASS",1217566,603728,603728
"109","Brave",2012,"ok","ok","PASS",187708135,240755653,562725176
"110","Bullet to the Head",2012,"nowomen","nowomen","FAIL",55805121,9628746,13760036
"111","Chernobyl Diaries",2012,"notalk","notalk","FAIL",1014639,18384886,38951995
"112","Chronicle",2012,"notalk","notalk","FAIL",12175663,65520463,128935373
"113","Cloud Atlas",2012,"ok","ok","PASS",103493134,27505098,127863295
"114","Contraband",2012,"ok","ok","PASS",25365964,67501874,99847390
"115","Django Unchained",2012,"notalk-disagree","notalk","FAIL",101463857,165188672,431600549
"116","Flight",2012,"dubious-disagree","dubious","FAIL",31453796,95145068,164140491
"117","Frankenweenie",2012,"nowomen-disagree","nowomen","FAIL",39570904,35804351,82338719
"118","Hannibal",2012,"ok","ok","PASS",88273555,167508980,355225246
"119","Hotel Transylvania",2012,"ok","ok","PASS",86244278,150484138,364480509
"120","Jack Reacher",2012,"notalk","notalk","FAIL",60878314,81242857,220552732
"121","Jagten",2012,"men","men","FAIL",3500503,697244,697244
"122","John Carter",2012,"ok-disagree","ok","PASS",279025606,74128153,286917566
"123","Killing Them Softly",2012,"nowomen","nowomen","FAIL",15219578,15164322,37783896
"124","Les Miserables",2012,"ok-disagree","ok","PASS",65951507,150988132,448493475
"125","Life of Pi",2012,"notalk-disagree","notalk","FAIL",121756628,126816653,616887080
"126","Lincoln",2012,"ok-disagree","ok","PASS",65951507,184875236,276997302
"127","Madagascar 3: Europe&#39;s Most Wanted",2012,"men-disagree","men","FAIL",147122592,219559143,757855127
"128","Men in Black III",2012,"notalk","notalk","FAIL",218147292,181641463,633967639
"129","Mirror Mirror",2012,"dubious","dubious","FAIL",86244278,65885725,171080229
"130","Moonrise Kingdom",2012,"ok","ok","PASS",16234217,46178703,64949517
"131","Much Ado About Nothing",2012,"dubious-disagree","dubious","FAIL",8117109,22879428,22879428
"132","One for the Money",2012,"ok","ok","PASS",42614820,26801198,36727096
"133","Paranormal Activity 4",2012,"ok","ok","PASS",5073193,54689359,144884139
"134","ParaNorman",2012,"notalk-disagree","notalk","FAIL",60878314,56822855,109742304
"135","Parental Guidance",2012,"ok","ok","PASS",25365964,78398378,121927729
"136","People Like Us",2012,"ok","ok","PASS",16234217,12613776,12613776
"137","Pitch Perfect",2012,"ok","ok","PASS",17248856,65952616,117019460
"138","Premium Rush",2012,"ok","ok","PASS",35512350,20572249,31852752
"139","Red Dawn",2012,"notalk-disagree","notalk","FAIL",65951507,45462690,48869204
"140","Red Tails",2012,"men","men","FAIL",58849037,50606496,51102777
"141","Rise of the Guardians",2012,"notalk-disagree","notalk","FAIL",147122592,104926572,311393491
"142","Rock of Ages",2012,"ok","ok","PASS",71024700,39082470,50852278
"143","Safe",2012,"notalk-disagree","notalk","FAIL",33483073,17393015,42102643
"144","Safety Not Guaranteed",2012,"ok-disagree","ok","PASS",760979,4069672,4477791
"145","Seven Psychopaths",2012,"notalk-disagree","notalk","FAIL",13697621,15243980,23836212
"146","Silent Hill: Revelation 3D",2012,"ok","ok","PASS",20292771,17786836,48646439
"147","Silver Linings Playbook",2012,"ok","ok","PASS",21307410,134026609,230644998
"148","Sinister",2012,"men","men","FAIL",3043916,48790826,89012016
"149","Skyfall",2012,"dubious-disagree","dubious","FAIL",202927713,308815675,1124923772
"150","Snow White and the Huntsman",2012,"ok","ok","PASS",172488556,157407735,406779965
"151","Sparkle",2012,"ok","ok","PASS",10146386,24754613,25021315
"152","Spring Breakers",2012,"ok","ok","PASS",5073193,14331045,31118489
"153","Step Up Revolution",2012,"ok","ok","PASS",33483073,35588120,167975738
"154","Supporting Characters",2012,"men","men","FAIL",60878,4989,4989
"155","Ted",2012,"men-disagree","men","FAIL",50731928,221866693,557487654
"156","That&#39;s My Boy",2012,"notalk","notalk","FAIL",68488103,37471707,58908258
"157","The Amazing Spider-Man",2012,"men-disagree","men","FAIL",223220484,265866416,768984693
"158","The Avengers",2012,"notalk","notalk","FAIL",60878314,23727745,49296637
"159","The Dark Knight Rises",2012,"notalk-disagree","notalk","FAIL",279025606,454699213,1095143990
"160","The Devil Inside",2012,"ok-disagree","ok","PASS",1014639,54041622,103248087
"161","The Dictator",2012,"notalk","notalk","FAIL",65951507,60523416,182005391
"162","The Expendables 2",2012,"ok-disagree","ok","PASS",101463857,86272883,316546185
"163","The Grey",2012,"nowomen-disagree","nowomen","FAIL",25365964,52335195,85574308
"164","The Hobbit: An Unexpected Journey",2012,"nowomen-disagree","nowomen","FAIL",253659641,307439106,1029557373
"165","The Hunger Games",2012,"ok-disagree","ok","PASS",81171085,413983383,694530947
"166","The Impossible",2012,"men","men","FAIL",40585543,19298306,172073169
"167","The Man with the Iron Fists",2012,"notalk","notalk","FAIL",15219578,15862951,22306925
"168","The Master",2012,"notalk-disagree","notalk","FAIL",38048946,16484994,25484413
"169","The Pirates! Band of Misfits",2012,"notalk","notalk","FAIL",55805121,31505670,124857587
"170","The Place Beyond the Pines",2012,"notalk-disagree","notalk","FAIL",15219578,21716836,47699629
"171","The Twilight Saga: Breaking Dawn - Part 2",2012,"dubious-disagree","dubious","FAIL",138193773,296603952,844848985
"172","The Vow",2012,"ok","ok","PASS",8866236,126844056,200511006
"173","The Watch",2012,"men","men","FAIL",55805121,34855879,68338951
"174","The Woman in Black",2012,"notalk","notalk","FAIL",15219578,55128651,130843627
"175","The Words",2012,"notalk","notalk","FAIL",6087831,11663106,12310182
"176","Think Like a Man",2012,"ok","ok","PASS",12175663,92887325,97562697
"177","To Rome With Love",2012,"men-disagree","men","FAIL",21814729,16928587,75452356
"178","Total Recall",2012,"notalk-disagree","notalk","FAIL",126829821,59739858,201523449
"179","Underworld: Awakening",2012,"ok","ok","PASS",71024700,63233330,162727662
"180","Wanderlust",2012,"ok","ok","PASS",32975753,17541229,24513601
"181","What to Expect When You&#39;re Expecting",2012,"ok","ok","PASS",38048946,41754612,81832836
"182","Won&#39;t Back Down",2012,"ok","ok","PASS",19278133,5388293,5510995
"183","Wrath of the Titans",2012,"notalk-disagree","notalk","FAIL",152195785,84894893,306390492
"184","Wreck-It Ralph",2012,"ok-disagree","ok","PASS",167415363,192185407,480342759
"185","Zero Dark Thirty",2012,"ok-disagree","ok","PASS",53268525,97121930,139736750
"186","30 Minutes or Less",2011,"notalk","notalk","FAIL",28999342,38376408,42428850
"187","50/50",2011,"men-disagree","men","FAIL",8285526,36265871,42810004
"188","A Dangerous Method",2011,"dubious","dubious","FAIL",20713816,5905595,15336023
"189","A Lonely Place to Die",2011,"ok","ok","PASS",4142763,NA,458345
"190","A Very Harold &amp; Kumar 3D Christmas",2011,"notalk","notalk","FAIL",20713816,36312387,37560098
"191","Another Earth",2011,"ok","ok","PASS",181246,1368348,1844766
"192","Apollo 18",2011,"nowomen","nowomen","FAIL",5178454,18318189,27464261
"193","Arthur Christmas",2011,"notalk","notalk","FAIL",88033717,48120751,152893489
"194","Attack the Block",2011,"ok-disagree","ok","PASS",13463980,1060729,5599381
"195","Bad Teacher",2011,"ok-disagree","ok","PASS",19678125,103872387,224136189
"196","Battle: Los Angeles",2011,"notalk-disagree","notalk","FAIL",72498355,86534481,219571833
"197","Beastly",2011,"notalk","notalk","FAIL",17606743,28860115,39385487
"198","Blackthorn",2011,"notalk","notalk","FAIL",4660609,207716,1294370
"199","Bridesmaids",2011,"ok-disagree","ok","PASS",33659951,175142277,299587165
"200","Captain America: The First Avenger",2011,"notalk-disagree","notalk","FAIL",144996710,182959443,383795703
"201","Cars 2",2011,"men","men","FAIL",207138157,198283907,580147769
"202","Circumstance",2011,"ok","ok","PASS",932122,470329,470329
"203","Colombiana",2011,"notalk","notalk","FAIL",41427631,37974487,74257040
"204","Conan the Barbarian",2011,"dubious-disagree","dubious","FAIL",20713816,39629760,81937729
"205","Contagion",2011,"ok-disagree","ok","PASS",62141447,78358394,142460919
"206","Coriolanus",2011,"men","men","FAIL",10356908,776396,1087104
"207","Cowboys &amp; Aliens",2011,"notalk","notalk","FAIL",168817598,103818215,182188693
"208","Detention",2011,"ok","ok","PASS",10356908,NA,NA
"209","Diary of a Wimpy Kid: Rodrick Rules",2011,"notalk","notalk","FAIL",18642434,54579387,76325433
"210","Dolphin Tale",2011,"men","men","FAIL",38320559,74866751,99497492
"211","Dream House",2011,"ok","ok","PASS",51784539,22062637,41357557
"212","Drive",2011,"dubious-disagree","dubious","FAIL",15535362,36312033,80840663
"213","Fast Five",2011,"ok-disagree","ok","PASS",129461348,217326947,652320815
"214","Final Destination 5",2011,"men","men","FAIL",41427631,44107629,163522777
"215","Footloose",2011,"ok","ok","PASS",24856579,53651623,65676025
"216","Fright Night",2011,"dubious","dubious","FAIL",31070724,18951742,41966863
"217","Green Lantern",2011,"notalk-disagree","notalk","FAIL",207138157,120762760,239452924
"218","Hall Pass",2011,"men","men","FAIL",37284868,46668987,86680344
"219","Hanna",2011,"ok","ok","PASS",31070724,41695999,67675862
"220","Harry Potter and the Deathly Hallows: Part 2",2011,"notalk-disagree","notalk","FAIL",129461348,394609809,1375512553
"221","Haywire",2011,"nowomen-disagree","nowomen","FAIL",23820888,19618465,22967676
"222","Hesher",2011,"notalk","notalk","FAIL",7249836,396614,396614
"223","Higher Ground",2011,"ok","ok","PASS",1864243,871074,889847
"224","Hobo with a Shotgun",2011,"nowomen","nowomen","FAIL",3107072,728476,864753
"225","Hop",2011,"men","men","FAIL",65248520,111942955,191524428
"226","Horrible Bosses",2011,"ok","ok","PASS",36249178,121733603,222195609
"227","Hugo",2011,"dubious","dubious","FAIL",186424342,76500789,191637196
"228","I Am Number Four",2011,"notalk","notalk","FAIL",51784539,57067015,151193038
"229","Immortals",2011,"men","men","FAIL",77676809,86484341,219113265
"230","In Time",2011,"notalk","notalk","FAIL",36249178,38894261,176134406
"231","Iris",2011,"ok","ok","PASS",5696299,5779651,15695916
"232","Jin ling shi san chai",2011,"ok","ok","PASS",103569079,322549,97066426
"233","Johnny English Reborn",2011,"dubious","dubious","FAIL",46606085,8602417,170412210
"234","Jumping the Broom",2011,"ok","ok","PASS",7249836,38626496,39520511
"235","Just Go with It",2011,"dubious","dubious","FAIL",82855263,106705263,222647578
"236","Kill List",2011,"dubious","dubious","FAIL",828553,30100,478703
"237","Killer Elite",2011,"nowomen","nowomen","FAIL",72498355,26021717,59839216
"238","Kung Fu Panda 2",2011,"ok","ok","PASS",155353618,171146932,688566122
"239","Le Havre",2011,"dubious","dubious","FAIL",5696299,633541,13961315
"240","Like Crazy",2011,"ok-disagree","ok","PASS",258923,3516575,3864669
"241","Limitless",2011,"notalk","notalk","FAIL",27963651,82077930,175797590
"242","Margaret",2011,"ok","ok","PASS",14499671,48869,48869
"243","Margin Call",2011,"notalk-disagree","notalk","FAIL",3521349,5544660,18510079
"244","Mars Needs Moms",2011,"dubious","dubious","FAIL",155353618,22156282,40961320
"245","Martha Marcy May Marlene",2011,"ok","ok","PASS",1035691,3087434,3657064
"246","Melancholia",2011,"ok","ok","PASS",9735493,3139021,18688080
"247","Midnight in Paris",2011,"ok","ok","PASS",31070724,58844493,160342190
"248","Mission: Impossible - Ghost Protocol",2011,"notalk-disagree","notalk","FAIL",150175164,216871479,719508092
"249","Moneyball",2011,"notalk","notalk","FAIL",51784539,78303911,115142275
"250","Mr. Popper&#39;s Penguins",2011,"notalk","notalk","FAIL",56962993,70659436,196392298
"251","New Year&#39;s Eve",2011,"ok","ok","PASS",26927960,56491379,148791377
"252","No Strings Attached",2011,"ok","ok","PASS",25892270,73184210,154554145
"253","October Baby",2011,"ok","ok","PASS",1035691,5547001,5547001
"254","Our Idiot Brother",2011,"ok","ok","PASS",5178454,25700491,26784257
"255","Paranormal Activity 3",2011,"ok","ok","PASS",5178454,107741677,214429259
"256","Paul",2011,"ok","ok","PASS",41427631,38748242,103755310
"257","Pirates of the Caribbean: On Stranger Tides",2011,"notalk","notalk","FAIL",258922697,249667634,1080913060
"258","Priest",2011,"notalk-disagree","notalk","FAIL",62141447,30176535,87157549
"259","Puss in Boots",2011,"notalk","notalk","FAIL",134639802,154587729,574795417
"260","Rango",2011,"notalk-disagree","notalk","FAIL",139818256,127656741,254266825
"261","Real Steel",2011,"notalk","notalk","FAIL",113925987,88513562,303703179
"262","Red Riding Hood",2011,"ok","ok","PASS",43499013,39006354,93523336
"263","Red State",2011,"ok","ok","PASS",4142763,1103455,1103455
"264","Restless",2011,"ok","ok","PASS",8285526,169597,2918985
"265","Rio",2011,"notalk","notalk","FAIL",93212171,148745713,504919774
"266","Rise of the Planet of the Apes",2011,"notalk","notalk","FAIL",96319243,183068895,500093845
"267","Shame",2011,"notalk","notalk","FAIL",6731990,4145138,11166495
"268","Snow Flower and the Secret Fan",2011,"ok","ok","PASS",6214145,1396324,11753231
"269","Soul Surfer",2011,"ok","ok","PASS",18642434,45418587,48841781
"270","Source Code",2011,"notalk-disagree","notalk","FAIL",33142105,56664949,145440503
"271","Straw Dogs",2011,"ok","ok","PASS",25892270,10692928,11655479
"272","Sucker Punch",2011,"ok-disagree","ok","PASS",77676809,37691379,92961937
"273","Super 8",2011,"ok-disagree","ok","PASS",51784539,131537058,269379017
"274","Take Shelter",2011,"ok","ok","PASS",4919531,1790661,3240628
"275","The Adjustment Bureau",2011,"dubious-disagree","dubious","FAIL",51991677,64726164,132354553
"276","The Adventures of Tintin",2011,"notalk","notalk","FAIL",134639802,80361144,387342089
"277","The Artist",2011,"notalk-disagree","notalk","FAIL",16571053,46261299,132834295
"278","The Best Exotic Marigold Hotel",2011,"ok","ok","PASS",10356908,48039108,139537943
"279","The Cabin in the Woods",2011,"dubious-disagree","dubious","FAIL",31070724,43574905,73293915
"280","The Darkest Hour",2011,"ok","ok","PASS",36042039,22208829,65074228
"281","The Divide",2011,"ok","ok","PASS",3107072,18642,18642
"282","The Future",2011,"ok","ok","PASS",1035691,588958,588958
"283","The Girl with the Dragon Tattoo",2011,"notalk-disagree","notalk","FAIL",93212171,106174662,241492267
"284","The Green Hornet",2011,"notalk","notalk","FAIL",113925987,102305579,236120048
"285","The Guard",2011,"notalk","notalk","FAIL",6214145,5551069,16513705
"286","The Help",2011,"ok","ok","PASS",25892270,175762513,220726425
"287","The Iron Lady",2011,"ok","ok","PASS",14499671,31028712,119717677
"288","The Lincoln Lawyer",2011,"notalk","notalk","FAIL",41427631,60079594,90255363
"289","The Mechanic",2011,"nowomen","nowomen","FAIL",44016858,30160867,79072292
"290","The Muppets",2011,"notalk-disagree","notalk","FAIL",46606085,91789051,166717137
"291","The Rite",2011,"dubious-disagree","dubious","FAIL",38320559,34227129,99475649
"292","The Roommate",2011,"ok","ok","PASS",16571053,38631377,41942847
"293","The Smurfs",2011,"ok","ok","PASS",113925987,147704169,583162839
"294","The Three Musketeers",2011,"men","men","FAIL",93212171,21105217,144870266
"295","The Tree of Life",2011,"nowomen-disagree","nowomen","FAIL",36249178,13780555,64529403
"296","The Twilight Saga: Breaking Dawn - Part 1",2011,"ok","ok","PASS",132050575,291326492,735276926
"297","Thor",2011,"ok-disagree","ok","PASS",155353618,187491749,465363438
"298","Tinker Tailor Soldier Spy",2011,"notalk","notalk","FAIL",21749507,25011304,84359926
"299","Tower Heist",2011,"notalk","notalk","FAIL",88033717,80832113,158947830
"300","Transformers: Dark of the Moon",2011,"ok-disagree","ok","PASS",201959703,364967639,1163903170
"301","War Horse",2011,"notalk-disagree","notalk","FAIL",72498355,82734459,162412399
"302","Warrior",2011,"notalk","notalk","FAIL",25892270,14144548,25079651
"303","We Bought a Zoo",2011,"men-disagree","men","FAIL",51784539,78323650,123169061
"304","Weekend",2011,"notalk","notalk","FAIL",196781,501887,1633890
"305","What&#39;s Your Number",2011,"ok","ok","PASS",20713816,14511151,31807187
"306","Winnie the Pooh",2011,"nowomen","nowomen","FAIL",31070724,27645535,51935343
"307","X-Men: First Class",2011,"ok-disagree","ok","PASS",165710526,151633733,368093107
"308","Young Adult",2011,"ok","ok","PASS",12428289,16893744,23562334
"309","Your Sister&#39;s Sister",2011,"ok","ok","PASS",124283,1654502,3200899
"310","127 Hours",2010,"dubious-disagree","dubious","FAIL",19228173,19586277,64879307
"311","Alice in Wonderland",2010,"ok","ok","PASS",213646368,356993585,1094287202
"312","Animal Kingdom",2010,"notalk","notalk","FAIL",4486574,1115276,8629906
"313","Another Year",2010,"ok","ok","PASS",8545855,3424437,19768384
"314","Barney&#39;s Version",2010,"ok","ok","PASS",32046955,8014473,9449125
"315","Beginners",2010,"notalk","notalk","FAIL",3418342,6186017,12353318
"316","Biutiful",2010,"notalk","notalk","FAIL",37388114,5449304,26813941
"317","Black Swan",2010,"ok-disagree","ok","PASS",13887014,114252393,353869648
"318","Blue Valentine",2010,"men-disagree","men","FAIL",1068232,10402326,17696585
"319","Burlesque",2010,"ok","ok","PASS",58752751,42131764,95774887
"320","Casino Jack",2010,"notalk-disagree","notalk","FAIL",13352898,2179053,2222851
"321","Centurion",2010,"notalk","notalk","FAIL",16023478,132001,7075508
"322","Charlie St. Cloud",2010,"notalk-disagree","notalk","FAIL",47002201,33335524,51785833
"323","Clash of the Titans",2010,"dubious","dubious","FAIL",133528980,174351340,526867848
"324","Conviction",2010,"ok","ok","PASS",13352898,7261515,10824983
"325","Cop Out",2010,"notalk","notalk","FAIL",39524578,47937418,59724746
"326","Country Strong",2010,"ok","ok","PASS",16023478,21598495,21953741
"327","Cyrus",2010,"notalk","notalk","FAIL",7477623,7978555,10724926
"328","Date Night",2010,"ok","ok","PASS",58752751,105446665,162658630
"329","Dear John",2010,"nowomen","nowomen","FAIL",26705796,85474402,118960872
"330","Despicable Me",2010,"ok-disagree","ok","PASS",73707997,268675247,580578700
"331","Devil",2010,"ok-disagree","ok","PASS",10682318,35977680,67676882
"332","Diary of a Wimpy Kid",2010,"ok","ok","PASS",16023478,68370710,82205045
"333","Dinner for Schmucks",2010,"notalk","notalk","FAIL",73707997,78009058,92718787
"334","Don&#39;t Be Afraid of the Dark",2010,"ok","ok","PASS",26705796,25687431,33703834
"335","Due Date",2010,"notalk","notalk","FAIL",69435070,107399007,226186388
"336","Dylan Dog: Dead of Night",2010,"nowomen","nowomen","FAIL",21364637,1267498,6506276
"337","Easy A",2010,"ok-disagree","ok","PASS",8545855,62386303,81400037
"338","Eat, Pray, Love",2010,"ok-disagree","ok","PASS",64093910,86071723,219892171
"339","Edge of Darkness",2010,"notalk","notalk","FAIL",64093910,46269276,86749716
"340","Everything Must Go",2010,"notalk","notalk","FAIL",5341159,2897185,2897185
"341","Fair Game",2010,"ok","ok","PASS",53411592,12281992,27878177
"342","Faster",2010,"nowomen","nowomen","FAIL",12818782,24825729,38091703
"343","For Colored Girls",2010,"ok","ok","PASS",22432869,40304065,40611902
"344","Frozen",2010,"notalk","notalk","FAIL",160234776,419868647,1073092418
"345","Get Him To The Greek",2010,"notalk","notalk","FAIL",42729274,65326144,97696078
"346","Going the Distance",2010,"ok","ok","PASS",34183419,19019119,42718768
"347","Green Zone",2010,"nowomen-disagree","nowomen","FAIL",106823184,37919386,104177195
"348","Grown Ups",2010,"ok-disagree","ok","PASS",80117388,173054825,290797736
